Artist,Track,Year,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Fats Domino,Be My Guest,1960,0.65,0.425,10,-10.893,1,0.0542,0.815,0.00338,0.0613,0.961,146.38
Santo & Johnny,Tear Drop,1960,0.604,0.347,10,-11.783,1,0.0268,0.714,0.807,0.144,0.343,93.269
Mark Dinning,Teen Angel,1960,0.57,0.0636,0,-18.548,1,0.0459,0.936,0,0.122,0.282,101.517
The Fleetwoods,Mr. Blue,1960,0.374,0.0889,4,-17.475,1,0.0356,0.931,6.88E-06,0.111,0.211,96.677
Ricky Nelson,I Wanna Be Loved,1960,0.653,0.301,11,-11.743,0,0.0423,0.551,0,0.0783,0.567,111.608
Conway Twitty,Danny Boy,1960,0.462,0.592,2,-6.711,1,0.123,0.937,1.62E-06,0.0977,0.764,173.575
Della Reese,Don't You Know,1960,0.509,0.346,8,-14.648,0,0.0495,0.239,1.78E-06,0.129,0.655,125.109
Jackie Wilson,Talk That Talk,1960,0.63,0.666,6,-5.444,1,0.051,0.629,0,0.897,0.873,143.998
Dee Clark,How About That,1960,0.593,0.252,10,-15.847,1,0.0637,0.719,0,0.431,0.861,149.803
Frankie Avalon,Swingin' On A Rainbow,1960,0.587,0.43,0,-9.375,1,0.0314,0.648,0,0.138,0.96,76.615
Johnny Mathis,Misty,1960,0.216,0.267,8,-13.561,1,0.0351,0.876,2.70E-05,0.109,0.218,82.098
The Drifters,Dance With Me,1960,0.426,0.44,5,-8.119,1,0.0296,0.351,0,0.154,0.537,131.348
Tommy Edwards,(New In) The Ways Of Love,1960,0.386,0.322,7,-13.018,0,0.032,0.715,0,0.0544,0.508,178.668
Rod Lauren,If I Had A Girl,1960,0.396,0.355,2,-12.773,1,0.0439,0.726,0.000171,0.201,0.568,123.275
Ricky Nelson,Mighty Good,1960,0.562,0.663,5,-11.33,0,0.0474,0.211,0,0.326,0.928,81.253
The Coasters,What About Us,1960,0.666,0.488,9,-15.711,1,0.0463,0.589,3.95E-05,0.0522,0.962,147.255
Dion & The Belmonts,Where Or When,1960,0.449,0.395,8,-6.389,1,0.0277,0.722,0,0.183,0.393,110.501
The Spacemen,The Clouds,1960,0.771,0.581,8,-11.339,1,0.0374,0.116,0.839,0.124,0.88,104.457
Stonewall Jackson,Mary Don't You Weep,1960,0.613,0.634,5,-11.399,1,0.0295,0.731,0,0.19,0.961,135.581
The Drifters,"(If You Cry) True Love, True Love",1960,0.511,0.236,0,-14.496,1,0.043,0.67,0,0.0953,0.196,141.222
Johnny And The Hurricanes,Reveille Rock,1960,0.459,0.746,6,-14.327,1,0.0375,0.0779,0.0545,0.584,0.963,93.3
Sammy Turner,Always,1960,0.665,0.315,1,-13.873,1,0.0355,0.883,0.81,0.141,0.779,108.775
Little Anthony And The Imperials,"Shimmy, Shimmy, Ko-Ko-Bop",1960,0.7,0.447,10,-12.969,1,0.0502,0.638,0,0.233,0.826,116.08
The Four Preps,Down By The Station,1960,0.754,0.442,3,-15.178,1,0.0403,0.324,0,0.0634,0.971,118.641
The Crests,A Year Ago Tonight,1960,0.641,0.682,7,-5.834,1,0.05,0.743,0,0.278,0.841,144.206
Joe Turner,Honey Hush,1960,0.472,0.592,7,-7.532,0,0.0681,0.586,0,0.125,0.671,169.218
Conway Twitty,Lonely Blue Boy,1960,0.659,0.342,5,-13.709,1,0.0353,0.777,1.26E-05,0.248,0.677,112.878
Jimmy Jones,Handy Man,1960,0.452,0.644,10,-9.061,1,0.049,0.376,0,0.196,0.854,144.995
Brook Benton,This Time Of The Year,1960,0.3,0.223,7,-11.654,1,0.0296,0.893,1.92E-05,0.092,0.124,67.323
The Clovers,Love Potion No. 9,1960,0.738,0.451,7,-12.949,1,0.146,0.572,0,0.175,0.793,128.853
Tony Bennett,Climb Ev'ry Mountain,1960,0.187,0.425,9,-8.776,1,0.0312,0.962,0.000823,0.211,0.226,74.407
Brenda Lee,Sweet Nothin's,1960,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235
The Coasters,Run Red Run,1960,0.655,0.541,0,-15.497,0,0.202,0.474,0,0.123,0.798,145.198
Ray Smith,Rockin' Little Angel,1960,0.646,0.787,0,-5.065,1,0.0796,0.804,1.51E-06,0.135,0.962,79.156
Joni James,Little Things Mean A Lot,1960,0.288,0.539,11,-8.253,1,0.032,0.338,0,0.116,0.556,113.129
Faron Young,Riverboat,1960,0.651,0.709,4,-8.817,1,0.049,0.491,0,0.099,0.942,90.851
The Viscounts,Harlem Nocturne,1960,0.357,0.321,11,-14.848,1,0.0397,0.801,0.626,0.113,0.47,165.689
Connie Francis,God Bless America,1960,0.267,0.316,3,-12.292,1,0.0329,0.515,0.0151,0.139,0.594,186.35
The Knockouts,Darling Lorraine,1960,0.531,0.298,11,-12.216,1,0.0265,0.876,0.000447,0.139,0.539,107.521
The Five Satins,In The Still Of The Nite,1960,0.531,0.33,6,-9.433,1,0.0256,0.811,0,0.117,0.416,72.428
Mitch Miller,Do-Re-Mi,1960,0.586,0.657,10,-11.173,1,0.0389,0.805,5.59E-05,0.142,0.784,115.215
Jerry Wallace,Little Coco Palm,1960,0.517,0.667,1,-12.415,0,0.0367,0.147,3.16E-05,0.184,0.846,75.369
Wink Martindale,Deck Of Cards,1960,0.49,0.376,0,-16.06,1,0.618,0.871,4.10E-06,0.121,0.672,170.841
Jane Morgan,Happy Anniversary,1960,0.251,0.188,0,-13.823,1,0.0315,0.95,0.000618,0.0941,0.321,95.542
Bill Doggett,Smokie-Part 2,1960,0.759,0.439,0,-5.962,1,0.0435,0.562,0.335,0.0983,0.96,110.07
Rod Bernard,One More Chance,1960,0.74,0.481,7,-11.406,1,0.037,0.645,0.000136,0.128,0.849,136.077
Jack Scott,What In The World's Come Over You,1960,0.506,0.176,4,-13.962,1,0.0303,0.802,3.93E-06,0.0978,0.492,76.273
The Everly Brothers,Let It Be Me,1960,0.471,0.19,7,-16.046,1,0.028,0.77,0.00385,0.129,0.305,72.764
Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",1960,0.466,0.389,5,-12.825,1,0.0253,0.631,0.843,0.295,0.749,92.631
Bobby Darin,Beyond The Sea,1960,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483
Jimmie Rodgers,T.L.C. Tender Love And Care,1960,0.445,0.326,8,-14.189,0,0.0317,0.781,0,0.216,0.577,141.427
The Fireballs,Bulldog,1960,0.514,0.88,9,-11.311,1,0.0395,0.138,0.779,0.175,0.883,158.893
Jimmie Rodgers,Waltzing Matilda,1960,0.778,0.306,7,-14.382,1,0.0352,0.814,0,0.0783,0.863,111.064
Debbie Reynolds,Am I That Easy To Forget,1960,0.279,0.258,10,-14.398,1,0.0428,0.837,1.63E-06,0.309,0.31,80.901
The Champs,Too Much Tequila,1960,0.811,0.546,5,-8.516,1,0.0462,0.716,0.328,0.124,0.939,114.115
The Little Dippers,Forever,1960,0.519,0.45,5,-9.133,1,0.0244,0.281,6.12E-06,0.152,0.549,72.115
Johnny Tillotson,Why Do I Love You So,1960,0.402,0.258,11,-11.335,1,0.031,0.896,1.19E-05,0.115,0.609,152.78
The Platters,Harbor Lights,1960,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797
Fats Domino,Country Boy,1960,0.329,0.758,3,-10.818,1,0.0919,0.153,0.00059,0.0854,0.896,206.222
Bobby Rydell,Wild One,1960,0.597,0.777,7,-4.722,1,0.0429,0.706,1.50E-06,0.069,0.893,148.62
Adam Wade,Tell Her For Me,1960,0.33,0.155,5,-14.621,1,0.0317,0.912,0,0.372,0.23,114.659
Ivo Robic,The Happy Muleteer,1960,0.516,0.615,9,-10.022,1,0.0455,0.426,0.00136,0.298,0.634,130.25
Sonny James,I Forgot More Than You'll Ever Know,1960,0.511,0.194,7,-11.47,1,0.0315,0.894,7.03E-06,0.228,0.268,82.19
Chuck Berry,Let It Rock,1960,0.632,0.716,10,-12.387,0,0.0646,0.581,2.48E-05,0.181,0.935,164.851
Nat King Cole,Time And The River,1960,0.414,0.249,10,-13.619,1,0.0295,0.893,7.56E-06,0.119,0.352,83.912
Kitty Kallen,That Old Feeling,1960,0.193,0.231,10,-15.138,0,0.0331,0.96,0.000121,0.151,0.138,168.247
Bobby Rydell,Little Bitty Girl,1960,0.61,0.623,1,-6.212,1,0.039,0.559,0,0.137,0.841,121.207
Frankie Ford,Time After Time,1960,0.579,0.485,10,-5.624,1,0.04,0.512,3.78E-06,0.245,0.686,133.998
Connie Stevens,Sixteen Reasons,1960,0.339,0.406,10,-8.955,1,0.0319,0.865,1.10E-05,0.11,0.619,109.783
Dorsey Burnette,(There Was A) Tall Oak Tree,1960,0.602,0.411,7,-10.841,1,0.0558,0.463,0,0.235,0.719,134.25
The Rivieras,Since I Made You Cry,1960,0.424,0.48,1,-11.313,1,0.0312,0.768,7.29E-06,0.0729,0.569,106.968
Barrett Strong,Money (That's what I want),1960,0.663,0.815,5,-8.059,1,0.0332,0.35,0,0.128,0.952,132.186
Teresa Brewer,Peace Of Mind,1960,0.398,0.416,0,-12.349,1,0.0371,0.408,6.11E-05,0.662,0.508,132.036
Buster Brown,Fannie Mae,1960,0.61,0.533,10,-7.324,0,0.0368,0.92,0.531,0.13,0.842,124.29
The Olympics,(Baby) Hully Gully,1960,0.744,0.47,7,-10.295,1,0.035,0.659,0,0.256,0.908,116.233
Paul Anka,Puppy Love,1960,0.29,0.408,7,-9.607,1,0.0318,0.662,0,0.272,0.542,102.229
Johnny And The Hurricanes,Beatnik Fly,1960,0.541,0.62,5,-15.603,1,0.0332,0.888,0.288,0.12,0.931,88.364
Perry Como,Delaware,1960,0.831,0.741,4,-14.312,1,0.0707,0.582,0,0.058,0.79,99.705
Annette,O Dio Mio,1960,0.389,0.412,5,-8.131,1,0.0304,0.192,3.11E-06,0.0936,0.363,115.882
The Fleetwoods,Outside My Window,1960,0.588,0.158,11,-17.737,1,0.0341,0.884,0.000648,0.111,0.472,105.659
Pat Boone,(Welcome) New Lovers,1960,0.582,0.438,8,-16.499,1,0.0388,0.927,0.762,0.511,0.837,119.192
Freddy Cannon,Chattanooga Shoe Shine Boy,1960,0.523,0.769,2,-9.059,1,0.145,0.738,0,0.288,0.928,178.156
Jimmy Reed,Baby What You Want Me To Do,1960,0.582,0.302,9,-11.624,1,0.0353,0.947,0.0107,0.0931,0.642,94.288
Connie Francis,Mama,1960,0.271,0.208,0,-11.22,1,0.0314,0.9,0.000107,0.334,0.112,87.551
The Drifters,This Magic Moment,1960,0.27,0.599,0,-4.63,1,0.0327,0.455,2.92E-06,0.116,0.7,136.169
Marty Wilde,Bad Boy,1960,0.569,0.334,9,-10.792,1,0.0352,0.432,8.22E-06,0.165,0.549,130.47
The Kingston Trio,El Matador,1960,0.555,0.272,5,-14.485,0,0.0274,0.787,0.00115,0.323,0.42,81.931
Sarah Vaughan,Eternally,1960,0.238,0.282,5,-12.521,1,0.0327,0.955,0.00112,0.101,0.16,133.375
Sammy Turner,Paradise,1960,0.519,0.34,7,-11.927,1,0.0313,0.942,0.893,0.263,0.659,98.391
Connie Francis,Teddy,1960,0.217,0.497,5,-4.965,1,0.033,0.638,1.76E-06,0.336,0.388,200.42
Guy Mitchell,The Same Old Me,1960,0.351,0.444,7,-14.463,1,0.0315,0.835,0,0.139,0.912,173.632
The Brothers Four,Greenfields,1960,0.466,0.125,11,-20.428,0,0.0372,0.863,0,0.121,0.338,111.43
Rosco Gordon,Just A Little Bit,1960,0.726,0.432,0,-13.652,1,0.0478,0.599,0.000417,0.0756,0.961,138.035
Johnny Horton,Sink The Bismark,1960,0.679,0.546,3,-12.609,1,0.0729,0.648,3.62E-05,0.057,0.964,115.234
Bill Black's Combo,White Silver Sands,1960,0.895,0.608,0,-7.224,1,0.0391,0.558,0.14,0.0659,0.96,117.705
Johnny Mathis,Starbright,1960,0.271,0.406,4,-13.026,1,0.033,0.812,2.64E-05,0.163,0.456,93.521
The Platters,Sleepy Lagoon,1960,0.254,0.236,3,-15.601,1,0.0329,0.868,0.00156,0.339,0.541,69.504
Marv Johnson,I Love The Way You Love,1960,0.716,0.828,9,-6.236,1,0.0898,0.378,0,0.115,0.863,134.703
Don Gibson,Just One Time,1960,0.676,0.591,3,-15.219,1,0.0462,0.431,0.000151,0.0596,0.962,97.31
Bo Diddley,Road Runner,1960,0.54,0.784,4,-10.369,1,0.0575,0.137,0.00113,0.346,0.964,131.918
Steve Lawrence,Footsteps,1960,0.641,0.468,2,-12.33,0,0.034,0.419,0,0.317,0.913,144.387
The Crests,Step By Step,1960,0.841,0.411,0,-10.767,1,0.305,0.347,0,0.137,0.926,105.38
Lenny Welch,You Don't Know Me,1960,0.549,0.27,4,-8.763,1,0.0273,0.881,0,0.201,0.471,99.924
Billy Bland,Let The Little Girl Dance,1960,0.591,0.537,5,-8.614,1,0.0676,0.419,0,0.372,0.96,141.603
Harold Dorman,Mountain Of Love,1960,0.462,0.438,1,-14.532,0,0.0462,0.763,0,0.606,0.778,115.688
The Frantics,Werewolf,1960,0.631,0.718,0,-14.01,1,0.0722,0.476,0.852,0.671,0.297,112.248
Pete Fountain,A Closer Walk,1960,0.544,0.246,9,-15.127,0,0.0406,0.824,0.863,0.32,0.193,96.118
Nat King Cole,Whatcha' Gonna Do,1960,0.865,0.212,3,-14.655,1,0.0477,0.546,3.53E-05,0.106,0.532,112.55
Bobby Comstock And The Counts,Jambalaya,1960,0.685,0.436,8,-13.802,1,0.0955,0.08,0.0365,0.164,0.967,115.023
Johnny Preston,Cradle Of Love,1960,0.477,0.506,6,-11.669,0,0.0696,0.683,2.15E-05,0.0538,0.868,174.525
Marty Robbins,Big Iron,1960,0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027
Sam Cooke,Teenage Sonata,1960,0.352,0.317,0,-8.694,1,0.0308,0.861,0,0.136,0.506,133.113
Santo & Johnny,Caravan,1960,0.602,0.815,1,-6.601,1,0.0286,0.0431,0.808,0.097,0.683,124.34
Jackie Wilson,Night,1960,0.284,0.498,0,-5.534,0,0.0296,0.918,0.00097,0.361,0.327,99.075
Dee Clark,At My Front Door,1960,0.405,0.583,10,-11.908,1,0.0828,0.773,0,0.3,0.669,177.319
Adam Wade,Ruby,1960,0.254,0.209,5,-13.07,1,0.0306,0.782,0,0.216,0.183,104.393
Jessie Hill,Ooh Poo Pah Doo - Part II,1960,0.626,0.849,9,-8.03,1,0.0454,0.405,0.00555,0.0925,0.944,127.363
Neil Sedaka,Stairway To Heaven,1960,0.492,0.646,5,-11.736,1,0.036,0.904,0,0.28,0.898,126.814
Dinah Washington,It Could Happen To You,1960,0.275,0.187,10,-15.587,1,0.0298,0.918,0.000868,0.115,0.14,96.141
Della Reese,Someday (You'll Want Me to Want You),1960,0.442,0.304,3,-10.942,1,0.0661,0.929,0.000382,0.104,0.371,183.026
Jackie Wilson,Doggin' Around,1960,0.541,0.366,5,-9.19,1,0.0252,0.938,0.445,0.107,0.425,94.809
Charlie Rich,Lonely Weekends,1960,0.41,0.836,5,-8.876,1,0.0975,0.723,0.000227,0.128,0.599,183.15
Sammy Masters,Rockin' Red Wing,1960,0.638,0.598,2,-6.548,1,0.0734,0.375,7.61E-06,0.0922,0.919,97.482
Conway Twitty,What Am I Living For,1960,0.487,0.385,9,-10.952,1,0.0306,0.614,4.32E-06,0.517,0.609,111.381
Stonewall Jackson,Why I'm Walkin',1960,0.591,0.37,2,-6.517,1,0.0273,0.426,0,0.105,0.779,136.124
Earl Grant,House Of Bamboo,1960,0.684,0.426,1,-12.88,1,0.61,0.822,0,0.0966,0.906,154.228
Clyde McPhatter,Think Me A Kiss,1960,0.647,0.34,5,-11.227,1,0.0644,0.841,0,0.198,0.97,167.447
Skip And Flip,Cherry Pie,1960,0.499,0.254,10,-16.861,0,0.0392,0.629,6.81E-06,0.0877,0.492,86.029
Paul Anka,Adam And Eve,1960,0.338,0.681,9,-8.886,0,0.0459,0.663,0,0.406,0.769,201.75
Henry Mancini,Mr. Lucky,1960,0.421,0.241,0,-18.01,1,0.0323,0.0598,0.879,0.144,0.258,121.434
Bobby Vee,What Do You Want?,1960,0.493,0.321,4,-12.393,0,0.119,0.794,0,0.0767,0.92,72.043
Anita Bryant,Paper Roses,1960,0.301,0.325,7,-8.847,1,0.0311,0.669,1.90E-06,0.16,0.298,116.644
Jimmy Jones,Good Timin',1960,0.568,0.459,3,-10.086,1,0.0391,0.596,1.74E-05,0.0744,0.967,147.424
Jimmie Rodgers,Just A Closer Walk With Thee,1960,0.502,0.0933,10,-24.702,1,0.0423,0.983,0.000127,0.156,0.413,108.271
Brook Benton,The Ties That Bind,1960,0.314,0.177,8,-17.677,1,0.0328,0.9,0.000228,0.059,0.386,81.382
Ricky Nelson,Young Emotions,1960,0.396,0.338,7,-9.145,0,0.0341,0.758,2.62E-06,0.117,0.375,116.543
Jack Scott,Burning Bridges,1960,0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.233,82.613
Johnny Tillotson,Earth Angel,1960,0.344,0.431,4,-9.631,1,0.0314,0.793,0,0.19,0.688,105.97
The Flamingos,Nobody Loves Me Like You,1960,0.522,0.673,11,-3.48,1,0.0425,0.789,0,0.318,0.659,141.01
Brook Benton,Hither And Thither And Yon,1960,0.195,0.16,3,-20.175,1,0.0344,0.802,1.04E-05,0.088,0.353,183.274
Jimmy Clanton,Another Sleepless Night,1960,0.495,0.442,5,-5.557,1,0.0316,0.666,0,0.092,0.649,79.571
Dion & The Belmonts,When You Wish Upon A Star,1960,0.509,0.183,4,-16.757,1,0.0314,0.973,0.011,0.221,0.447,109.795
Sonny James,Jenny Lou,1960,0.611,0.271,6,-14.045,1,0.0365,0.972,0.302,0.0823,0.531,118.962
Webb Pierce,Is It Wrong (For Loving You),1960,0.644,0.432,9,-10.946,1,0.0343,0.618,6.80E-05,0.187,0.699,112.951
Johnny Tillotson,Pledging My Love,1960,0.231,0.4,5,-8.947,1,0.0305,0.929,0,0.156,0.446,170.667
The Four Preps,Got A Girl,1960,0.684,0.505,1,-8.491,1,0.0376,0.844,0.00744,0.178,0.789,89.593
Etta James,All I Could Do Was Cry,1960,0.371,0.244,8,-8.968,1,0.03,0.725,8.87E-05,0.456,0.51,173.908
Ricky Nelson,Right By My Side,1960,0.566,0.529,5,-10.095,1,0.0394,0.63,0,0.351,0.792,73.5
Jack Scott,"Oh, Little One",1960,0.517,0.469,4,-12.904,1,0.0447,0.678,0.000125,0.301,0.312,123.458
Teddy Randazzo,The Way Of A Clown,1960,0.446,0.579,0,-6.447,0,0.0308,0.386,5.18E-06,0.357,0.526,114.526
Wade Flemons,Easy Lovin',1960,0.575,0.356,5,-7.429,1,0.0294,0.886,0,0.0641,0.763,106.452
Debbie Reynolds,City Lights,1960,0.366,0.355,2,-11.872,1,0.0313,0.887,0,0.242,0.547,99.136
Fats Domino,Tell Me That You Love Me,1960,0.455,0.815,10,-9.296,1,0.0461,0.244,0,0.0582,0.971,97.872
James Brown And The Famous Flames,Think,1960,0.721,0.665,8,-8.756,1,0.102,0.446,3.72E-06,0.224,0.926,78.646
Paul Evans,Happy-Go-Lucky-Me,1960,0.717,0.545,9,-10.97,1,0.048,0.809,0.0554,0.243,0.962,93.888
LaVern Baker,Wheel Of Fortune,1960,0.548,0.25,7,-11.827,1,0.0309,0.823,1.36E-06,0.717,0.591,108.268
Bobby Rydell,Swingin' School,1960,0.524,0.762,5,-5.473,1,0.0329,0.64,1.31E-06,0.0956,0.969,150.56
Bobby Rydell,Ding-A-Ling,1960,0.645,0.755,6,-5.965,0,0.0446,0.491,0,0.297,0.871,132.072
Sam Cooke,Wonderful World,1960,0.691,0.507,11,-10.23,1,0.0343,0.627,0,0.457,0.885,128.518
Freddy Cannon,Jump Over,1960,0.532,0.826,0,-6.327,1,0.109,0.697,1.49E-05,0.117,0.83,124.308
Connie Francis,Jealous Of You (Tango Della Gelosia),1960,0.457,0.481,4,-4.445,1,0.0297,0.726,8.03E-05,0.457,0.436,126.501
Dinah Washington & Brook Benton,A Rockin' Good Way (To Mess Around And Fall In Love),1960,0.788,0.52,3,-10.837,1,0.0528,0.845,2.94E-05,0.178,0.96,130.224
Hank Locklin,"Please Help Me, I'm Falling",1960,0.552,0.336,7,-10.712,1,0.0311,0.828,0,0.324,0.553,105.479
Paul Anka,My Home Town,1960,0.79,0.514,11,-10.743,0,0.0362,0.223,0,0.14,0.962,117.022
Tommy Edwards,I Really Don't Want To Know,1960,0.251,0.328,10,-11.197,1,0.0328,0.761,2.79E-06,0.359,0.365,99.104
Percy Faith And His Orchestra,Theme For Young Lovers,1960,0.346,0.372,9,-13.811,1,0.0341,0.761,0.919,0.122,0.192,108.189
"Joiner, Arkansas Junior High School Band",National City,1960,0.581,0.766,5,-4.604,1,0.0305,0.409,1.22E-06,0.103,0.966,95.816
Hank Ballard And The Midnighters,Finger Poppin' Time,1960,0.545,0.78,9,-4.129,1,0.0319,0.182,0,0.154,0.932,159.638
Little Willie John,A Cottage For Sale,1960,0.339,0.329,5,-12.323,1,0.0303,0.575,1.44E-06,0.26,0.415,75.332
Mitchell Torok,Pink Chiffon,1960,0.71,0.466,9,-3.611,0,0.0298,0.635,0,0.0863,0.508,114.425
The Everly Brothers,Always It's You,1960,0.519,0.18,5,-16.538,1,0.0285,0.867,4.05E-06,0.105,0.373,81.31
The Fendermen,Mule Skinner Blues,1960,0.51,0.592,4,-6.387,1,0.0384,0.814,0,0.0933,0.545,128.876
The Skyliners,Pennies From Heaven,1960,0.553,0.487,2,-7.195,0,0.0268,0.143,0,0.114,0.911,78.579
Johnny And The Hurricanes,Down Yonder,1960,0.519,0.726,10,-14.546,1,0.0286,0.397,0.798,0.201,0.971,147.663
Frank Sinatra,"River, Stay 'Way From My Door",1960,0.522,0.357,7,-13.064,1,0.067,0.28,0,0.0474,0.742,124.014
The Fleetwoods,Runaround,1960,0.4,0.0911,1,-15.343,1,0.041,0.926,5.45E-06,0.176,0.26,77.5
Hollywood Argyles,Alley-Oop,1960,0.656,0.559,7,-4.237,1,0.0529,0.771,0,0.173,0.886,65.22
The Beau-Marks,Clap Your Hands,1960,0.501,0.753,6,-7.349,1,0.0331,0.0381,0,0.185,0.927,123.713
LaVern Baker,Shadows Of Love,1960,0.698,0.372,0,-11.599,1,0.0465,0.903,0,0.295,0.909,115.635
The Drifters,Lonely Winds,1960,0.49,0.842,10,-5.614,1,0.0432,0.577,0,0.311,0.833,171.82
Little Willie John,Heartbreak (It's Hurtin' Me),1960,0.512,0.449,8,-11.717,1,0.0625,0.703,0.0159,0.0877,0.646,125.096
Jimmy Reed,Found Love,1960,0.779,0.453,2,-10.404,1,0.0435,0.836,0.022,0.0943,0.831,105.946
The Everly Brothers,When Will I Be Loved,1960,0.585,0.472,11,-10.553,1,0.0283,0.184,0,0.244,0.848,118.179
Freddy Cannon,The Urge,1960,0.567,0.945,0,-5.541,1,0.0539,0.716,0.00127,0.595,0.932,138.419
Johnny Mathis,Maria,1960,0.159,0.355,5,-12.155,1,0.0374,0.882,1.02E-05,0.213,0.0996,84.472
Ray Peterson,Tell Laura I Love Her,1960,0.528,0.394,10,-11.235,1,0.0368,0.751,0,0.173,0.297,102.898
Fats Domino,Walking To New Orleans,1960,0.606,0.344,1,-9.944,1,0.0403,0.782,0,0.132,0.517,80.829
Bill Black's Combo,Josephine,1960,0.806,0.726,5,-3.706,1,0.0645,0.829,0.84,0.0755,0.954,160.203
Jan And Kjeld,Banjo Boy,1960,0.406,0.671,10,-2.717,1,0.0414,0.688,0,0.0743,0.691,168.612
Dorsey Burnette,Hey Little One,1960,0.503,0.14,0,-15.972,1,0.0306,0.829,1.06E-05,0.12,0.455,72.013
Marv Johnson,All The Love I've Got,1960,0.747,0.769,9,-8.571,0,0.0768,0.643,0,0.2,0.825,130.627
The Kingston Trio,Bad Man Blunder,1960,0.461,0.347,4,-18.178,1,0.117,0.797,0,0.081,0.701,174.043
Frankie Avalon,Where Are You,1960,0.155,0.303,10,-9.494,0,0.0319,0.782,0.000256,0.169,0.205,70.946
The Crests,Trouble In Paradise,1960,0.389,0.681,7,-4.579,0,0.0602,0.897,0,0.372,0.818,167.882
Adam Wade,I Can't Help It,1960,0.204,0.244,5,-11.287,1,0.0303,0.811,0,0.274,0.243,171.126
The Coasters,"Wake Me, Shake Me",1960,0.661,0.324,0,-14.575,1,0.0557,0.298,0,0.154,0.71,77.442
Dinah Washington,This Bitter Earth,1960,0.263,0.177,1,-15.702,1,0.0491,0.866,0.0102,0.259,0.271,80.8
Marty Robbins,Is There Any Chance,1960,0.352,0.325,0,-10.117,1,0.0295,0.61,0,0.269,0.475,106.97
The Brothers Four,My Tani,1960,0.444,0.0923,2,-16.985,1,0.0363,0.71,0,0.114,0.278,113.282
Donnie Brooks,Mission Bell,1960,0.572,0.418,2,-12.757,1,0.0528,0.844,0.283,0.222,0.592,81.481
Johnny Horton,Johnny Freedom,1960,0.669,0.527,7,-13.277,1,0.0376,0.742,0,0.609,0.799,98.467
Joanie Sommers,One Boy,1960,0.468,0.158,7,-14.588,1,0.0286,0.806,0,0.393,0.478,85.101
